,run_id,runner_id,game_id,category_id,level_id,run_time,timestamp,system_id,url,run_views
13800,y65079qz,8gemrqpj,o1y9wo6q,n2y55mko,,1193.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/641818957,
13801,mk3k4d3z,qj2l346x,o1y9wo6q,7kjpp4k3,,548.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=5itHMx6vbgE,16
13802,y4wq5gkm,zxz1vorj,o1y9wo6q,7kjpp4k3,,551.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=1fS8K2tQnt8,53
13803,y4wq5nnm,y8ddqm98,o1y9wo6q,7dgrrxk4,,4560.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=Me_03o9igD8&feature=youtu.be,63
13804,y90v2oey,v816eo5x,o1y9wo6q,7dgrrxk4,,3211.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642006597,
13805,y90v25ey,zx7ekrq8,o1y9wo6q,7dgrrxk4,,4151.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642050363,
13806,y8289n5y,7j4gpv5j,o1y9wo6q,7dgrrxk4,,3418.0,2020-06-05,w89rwelk,https://youtu.be/jEoCUykX-3E?t=209,11
13807,yokp287z,8v57d12j,o1y9wo6q,n2y55mko,,1969.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=gnwxIaP8lgs,21
13808,y90v57ey,v8lkd7lx,o1y9wo6q,7kjpp4k3,,788.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642345630,
13809,y90v52ey,zxz97kn8,o1y9wo6q,wkpoo02r,,6218.0,2020-06-05,w89rwelk,https://youtu.be/JEJtn9yHqDw,439
13810,y25p155y,v8lyv4jm,o1y9wo6q,wkpoo02r,,7410.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642368506,
13811,mrk7e48y,j5w2g0nj,o1y9wo6q,n2y55mko,,1196.0,2020-06-05,w89rwelk,https://youtu.be/bn_i2r1fDrw,12
13812,yjlp3x7z,j2y6mw68,o1y9wo6q,7dgrrxk4,,4295.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642455930,
13813,y650l0qz,18vw3yjl,o1y9wo6q,n2y55mko,,1473.0,2020-06-05,w89rwelk,https://youtu.be/aczMkDOlWew,2
13814,z05p1q8m,86v7mm5j,o1y9wo6q,n2y55mko,,1940.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/642546843,
13815,mk3k261z,zxz9op98,o1y9wo6q,n2y55mko,,1229.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=scgxttm7Odc&feature=youtu.be,27
13816,yd5d5n0m,j2yqgyo8,o1y9wo6q,n2y55mko,,1304.0,2020-06-06,w89rwelk,https://www.twitch.tv/videos/642776315,
13817,y90v0dny,jmo06re8,o1y9wo6q,7kjpp4k3,,705.0,2020-06-06,w89rwelk,https://www.youtube.com/watch?v=zstr9p-sTa4,
